chunking_strategy,chunk_size,chunk_overlap,num_chunks,retrieval_method,embedding_time_sec,metric_precision_at_1,metric_precision_at_3,metric_precision_at_5,metric_recall_at_3,metric_recall_at_5,metric_mrr
fixed,64,0,16,vector,1.7519257068634033,1.0,0.8666666666666666,0.8400000000000001,0.2033333333333333,0.31666666666666665,1.0
fixed,64,0,16,bm25,0.0,1.0,1.0,0.96,0.24499999999999997,0.3833333333333333,1.0
fixed,64,0,16,hybrid,1.7519257068634033,1.0,1.0,0.9199999999999999,0.24499999999999997,0.3666666666666666,1.0
fixed,64,16,18,vector,4.3378379344940186,1.0,0.9333333333333332,0.8400000000000001,0.20203619909502266,0.28800904977375563,1.0
fixed,64,16,18,bm25,0.0,1.0,0.9333333333333332,0.9199999999999999,0.20203619909502266,0.3283936651583711,1.0
fixed,64,16,18,hybrid,4.3378379344940186,1.0,0.9333333333333332,0.8400000000000001,0.20203619909502266,0.28800904977375563,1.0
fixed,128,0,4,vector,1.3634681701660156,1.0,1.0,1.0,0.75,1.0,1.0
fixed,128,0,4,bm25,0.0,1.0,1.0,1.0,0.75,1.0,1.0
fixed,128,0,4,hybrid,1.3634681701660156,1.0,1.0,1.0,0.75,1.0,1.0
fixed,128,32,5,vector,1.699554443359375,1.0,0.9333333333333332,0.96,0.58,1.0,1.0
fixed,128,32,5,bm25,0.0,1.0,0.9333333333333332,0.96,0.58,1.0,1.0
fixed,128,32,5,hybrid,1.699554443359375,1.0,0.9333333333333332,0.96,0.58,1.0,1.0
fixed,256,0,2,vector,1.3657736778259277,1.0,1.0,1.0,1.0,1.0,1.0
fixed,256,0,2,bm25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed,256,0,2,hybrid,1.3657736778259277,1.0,1.0,1.0,1.0,1.0,1.0
fixed,256,64,2,vector,0.9304330348968506,1.0,1.0,1.0,1.0,1.0,1.0
fixed,256,64,2,bm25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed,256,64,2,hybrid,0.9304330348968506,1.0,1.0,1.0,1.0,1.0,1.0
paragraph,auto,auto,75,vector,1.2436954975128174,1.0,0.8,0.76,0.0467205562121311,0.07255037908174486,1.0
paragraph,auto,auto,75,bm25,0.0,0.8,0.8666666666666666,0.8,0.050872208244816475,0.07645693307521455,0.9
paragraph,auto,auto,75,hybrid,1.2436954975128174,1.0,0.7999999999999999,0.76,0.046950639617365494,0.07278046248697927,1.0
semantic,auto,auto,50,vector,1.28586745262146,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.09203417150225661,1.0
semantic,auto,auto,50,bm25,0.0,1.0,1.0,1.0,0.06340232108317215,0.10567053513862024,1.0
semantic,auto,auto,50,hybrid,1.28586745262146,1.0,1.0,0.96,0.06340232108317215,0.10112508059316569,1.0
Advanced semantic segmentation,auto,auto,51,vector,1.034508466720581,1.0,0.9333333333333332,0.8800000000000001,0.05784541089162938,0.09034841209210957,1.0
Advanced semantic segmentation,auto,auto,51,bm25,0.0,1.0,1.0,1.0,0.06239086543708393,0.10398477572847323,1.0
Advanced semantic segmentation,auto,auto,51,hybrid,1.034508466720581,1.0,1.0,0.96,0.06239086543708393,0.09943932118301867,1.0
Topic-based chunking,auto,auto,50,vector,2.47395658493042,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.09203417150225661,1.0
Topic-based chunking,auto,auto,50,bm25,0.0,1.0,1.0,1.0,0.06340232108317215,0.10567053513862024,1.0
Topic-based chunking,auto,auto,50,hybrid,2.47395658493042,1.0,1.0,0.96,0.06340232108317215,0.10112508059316569,1.0
Sliding window with coherence,auto,auto,50,vector,4.1317222118377686,1.0,0.9333333333333332,0.8800000000000001,0.0588568665377176,0.09203417150225661,1.0
Sliding window with coherence,auto,auto,50,bm25,0.0,1.0,1.0,1.0,0.06340232108317215,0.10567053513862024,1.0
Sliding window with coherence,auto,auto,50,hybrid,4.1317222118377686,1.0,1.0,0.96,0.06340232108317215,0.10112508059316569,1.0
